Stressed word,Transcription,Comment,G2P,G2P_
злі́сний,з´л´і́сни̃ĭ,,з'л'існий,
кі́нний,к'і̃́н:и̃ĭ,,к'інний,
де́нний,де̃́н:и̃ĭ,,денний,
во́ля,в°о́·л´·а,,вол'а,
ві́льний,в'і́л´ни̃ĭ,,в'іл'ний,
покрі́вля,п°окр´і́ўл´·а,,покр'івл'а,
покріве́льний,п°окр´іве́·л´ни̃ĭ,,покр'івел'ний,
парале́ль,парале́·л´,,паралел',
парале́льний,парале́·л´ни̃ĭ,,паралел'ний,
сти́ль,сти́л´,,стил',
сти́льний,сти́л´ни̃ĭ,,стил'ний,
контра́стний,к°о̃нтра́сни̃ĭ,,контрасний,
студе́нтський,ст°уде̃́·н´с´киĭ,,студен'с'кий,
аге́нтство,аге̃́нств°о,,агенство,
тури́стський,т°ури́с´киĭ,,турис'кий,
неві́стчин,не̃(и)·в'і́шчи̃(е)н,,нев'ішчин,
зві́стці,зв'і́с´ц´і,,зв'іс'ц'і,
шістна́дцять,ш'існа̃́·д͡з´ц´·а·т´,,ш'існаz'ц'ат',
шістдеся́т,ш'ізде(и)·с´·а́т,,ш'іздес'ат,
шістсо́т,ш'іс°:о́т,,ш'іссот,
суддя́,с°у·д´:·а́,,суд'д'а,
зжи́тися,ж:и́ти(е)с´·а,,жжитис'а,
розжа́рити,р°ож:а́ри(е)ти,,рожжарити,
зши́тий,ш:и́тиĭ,,шшитий,
стара́ється,стара́·j·е(і)·ц´:·а,,старайец'ц'а,
відда́ти,в'ід:а́ти,,в'іддати,
беззапере́чно,бе(и)з:апе(и)ре́чн°о̃,,беззаперечно,
контрро́звідка,к°о̃нтр°:о́зв'ідка,,контррозв'ідка,
осі́нній,о·с´і̃́н´:і̃ĭ,,ос'ін'н'ій,
замі́нник,за̃·м'і̃́н:и̃(е)к,,зам'інник,
фіззаря́дка,ф'із:а·р´·а́дка,,ф'іззар'адка,
політтехно́лог,п°о·л´іт:е(и)хн°о̃́л°ог,,пол'іттехнолог,
пре́с-секрета́р,пре́с:е(и)кре(и)та́р,,прессекретар,
юнна́т,j°·у̃н:а̃́т,,йуннат,
Укрреставра́ція,укр:е(и)стаўра́·ц´іj·а,,укрреставрац'ійа,
бру́тто,бр°у́т°:о,,брутто,
бу́лла,б°у́л:а,,булла,
ва́нна,ва̃́н:а̃,,ванна,
елліні́ст,е·л´:і̃н´і̃́ст,,ел'л'ін'іст,
іммігра́ція,і̃м':і̃гра́·ц´іj·а,,ім'м'іграц'ійа,
Ка́нни,ка̃́н:и̃,,канни,
контрреволю́ція,к°о̃нтр:е(и)в°о(у)·л´°·у́·ц´іj·а,,контрревол'уц'ійа,
мадо́нна,ма̃д°о̃́н:а̃,,мадонна,
ма́нна,ма̃́н:а̃,,манна,
не́тто,не̃́т°:о,,нетто,
панно́,па̃н°:о̃́,,панно,
військкома́т,в'іĭс´к°о̃ма̃́т,,в'ійс'ккомат,
то́нн,т°о̃́н,,тонн,
бі́лль,б'і́л´,,б'іл'л',
неси́,не̃(и)си́,,неси,
мені́,ме̃(и)·н´і̃́,,мен'і,
беру́,бе(и)р°у́,,беру,
дире́ктор,ди(е)ре́кт°ор,,директор,
сиро́ватка,си(е)р°о́ватка,,сироватка,
пита́ю,пи(е)та́·j°·у,,питайу,
кожу́х,к°о(у)ж°у́х,,кожух,
зозу́ля,з°о(у)з°у́·л´·а,,зозул'а,
но́шу,н°о̃́ш°у,,ношу,
сопі́лка,с°о·п'і́лка,с°о(у)·п'і́лка,соп'ілка,
тобі́,т°о·б'і́,т°о(у)·б'і́,тоб'і,
зерни́на,зе(и)рни̃́на̃,,зернина,
село́,се(и)л°о́,,село,
покла́дено,п°окла́де̃(и)н°о̃,,покладено,
зеле́ний,зе(и)ле̃́ни̃ĭ,,зелений,
окра́єць,окра́·j·е(і)·ц´,,окрайец',
бельгі́єць,бе(и)·л´г'і́j·е(і)·ц´,,бел'г'ійец',
кише́ня,ки(е)ше̃́·н´·а̃,,кишен'а,
схова́тися,сх°ова́ти(е)с´·а,,сховатис'а,
кирпа́тий,ки(е)рпа́тиĭ,,кирпатий,
кисі́ль,ки(е)с´і́л´,,кис'іл',
висо́кий,ви(е)с°о́киĭ,,високий,
мисли́вець,ми̃(е)сли́ве(и)·ц´,,мисливец',
розу́мний,р°о(у)з°у̃́мни̃ĭ,,розумний,
косу́ля,к°о(у)с°у́·л´·а,,косул'а,
полу́днувати,п°о(у)л°у́дн°у̃вати,,полуднувати,
зозу́лька,з°о(у)з°у́·л´ка,,зозул'ка,
прошу́,пр°о(у)ш°у́,,прошу,
носі́ть,н°о̃·с´і́т´,н°о̃(у)·с´і́т´,нос'іт',
дорі́жка,д°о·р´і́жка,д°о(у)·р´і́жка,дор'іжка,
аудито́рія,аўди(е)т°о́·р´іj·а,,аудитор'ійа,
ві́рність,в'і́рн´і̃с´т´,,в'ірн'іс'т',
кова́ль,к°ова́·л´,,ковал',
захо́вує,зах°о́в°у·j·е,,заховуйе,
здорова́нь,зд°ор°ова̃́·н´,,здорован',
я́блуко,j·а́бл°ук°о,,йаблуко,
своя́,св°о·j·а́,,свойа,
ю́шка,j°·у́шка,,йушка,
ши́єю,ши́j·е·j°·у,,шийейу,
йо́рж,j°·о́рж,,йорж,
йото́вана,j°·от°о́ва̃на̃,,йотована,
зна́ю,зна̃́·j°·у,,знайу,
кия́ни,ки(е)j·а̃́ни̃,,кийани,
ї́сти,jі́сти,,йісти,
вла́да,ўла́да,,влада,
вде́ртися,ўде́рти(е)с´·а,,вдертис'а,
йти́,ĭти́,,йти,
ймові́рно,ĭм°о̃·в'і́рн°о̃,,ймов'ірно,
ковбаса́,к°оўбаса́,,ковбаса,
навмання́,на̃ўма̃·н´:·а̃́,,навман'н'а,
зізна́вся,з´ізна̃́ўс´·а,,з'ізнавс'а,
найменува́ння,на̃ĭме̃(и)н°у̃ва̃́·н´:·а̃,,найменуван'н'а,
койне́,к°оĭне̃́,,койне,
знайти́,зна̃ĭти́,,знайти,
мо́йва,м°о̃́ĭва,,мойва,
браті́в,бра·т´і́ў,,брат'ів,
ле́в,ле́ў,,лев,
бува́в,б°ува́ў,,бував,
кра́й,кра́ĭ,,край,
спро́буй,спр°о́б°уĭ,,спробуй,
прибі́й,при(е)б'і́ĭ,,приб'ій,
геро́й,ге(и)р°о́ĭ,,герой,
вве́дення,ўве́де̃(и)·н´:·а̃,в:е́де̃(и)·н´:·а̃,введен'н'а,
піввідра́,п'іўв'ідра́,п'ів':ідра́,п'ів'в'ідра,
завві́дділу,заўв'і́д´:іл°у,зав':і́д´:іл°у,зав'в'ід'д'ілу,
вде́нь,ўде̃́·н´,,вден',
вда́лий,ўда́лиĭ,,вдалий,
товари́ств,т°овари́ств,,товариств,
ве́рств,ве́рств,,верств,
хвастну́ти,хвастн°у̃́ти,,хваснути,
зап'я́стний,запj·а́стни̃ĭ,,запйасний,
бездія́льний,бе(и)зд´іj·а́·л´ни̃ĭ,,без'д'ійал'ний,
відлю́дний,в'ідл´°·у́дни̃ĭ,,в'ідл'удний,
злі́т,зл´і́т,,з'л'іт,
узлі́сся,узл´і́с´:·а,,уз'л'іс'с'а,
змія́,з´м'і̃j·а́,,зм'ійа,
смі́х,с´м'і̃́х,,см'іх,
світа́нок,с´в'іта̃́н°о̃к,,св'ітанок,
дзвя́кати,д͡з´в'·а́кати,,zзв'акати,zв'акати
цвя́х,ц´в'·а́х,,цв'ах,
цвірі́нькати,ц´в'ір´і̃́н´кати,,цв'ір'ін'кати,
о́сьде,о́·з´де,,оз'де,
такдавно́,таґдаўн°о̃́,,таґдавно,
хо́чби,х°о́д͡жби,,хоjби,
нашдру́г,на̃ждр°у́г,,наждруг,
зхра́му,схра̃́м°у̃,,зхраму,
зкімна́ти,ск'і̃мна̃́ти,,зк'імнати,
зфі́рмою,сф'і́рм°о̃·j°·у,,зф'ірмойу,
зцу́кром,сц°у́кр°о̃м,,сцукром,
безте́бе,бе(и)зте́бе,,безтебе,
че́резха́щі,че́ре(и)зха́шч'і,,черезхаш'ч'і,
підка́менем,п'ідка̃́ме̃(и)не̃м,,п'ідкаменем,
надпо́лем,на̃дп°о́ле̃м,,надполем,
міжтова́ришами,м'і̃жт°ова́ри(е)ша̃ми̃,,м'іжтоваришами,
піддзво́ном,п'ід͡з:в°о̃́н°о̃м,,п'іzzвоном,
спрутзасну́в,спр°уд͡ззасн°у̃́ў,,спрудзаснув,спруцзаснув
світдзерка́л,с´в'ід͡з:е(и)рка́л,,св'ідzзеркал,св'ідzеркал
надджерело́м,на̃д͡ж:е(и)ре(и)л°о̃́м,,наjjерелом,
світживи́х,с´в'ід͡жжи(е)ви́х,,св'ідживих,
літджмеля́,л´ід͡ж:ме̃(и)·л´·а́,,л'ідjмел'а,
неморо́чся,не̃(и)м°о̃р°о́·ц´с´·а,,немороц'с'а,
міждзвіни́цями,м'і̃зд͡зв'і̃ни̃́ц´·а̃ми̃,,м'ізzв'іниц'ами,м'ізzзв'іниц'ами
і́міджза́кладу,і̃́м'і̃д͡зза́клад°у,,ім'іjзакладу,
ґандждзе́ркала,ґа̃нд͡з:е́ркала,,ґанjzеркала,ґанjzзеркала
міжци́м,м'і̃зци̃́м,,м'іжцим,
підді́м,п'ід´:і̃́м,,п'ід'д'ім,
братді́вчинки,бра·д´:і́ўчи̃(е)нки,,брат'д'івчинки,брадд'івчинки
світтісни́й,с´в'іт´:існи̃́ĭ,,св'іт'т'існий,
вінніми́й,в'і̃н´:і̃ми̃́ĭ,,в'ін'н'імий,
зшо́вку,ш°:о́ўк°у,,шшовку,
цвітде́рева,ц´в'ід:е́ре(и)ва,,цв'іддерева,
си́пбі́льше,си́б':і́л´ше,,сибб'іл'ше,
кри́кґа́ви,кри́ґ:а́ви,,криґґави,
плюсза́лишок,пл´°·уз:а́ли(е)ш°ок,,пл'уззалишок,
беззе́лені,бе(и)з:е́ле̃(и)·н´і̃,,беззелен'і,
бе́зліччерепа́х,бе́зл´іч:е(и)ре(и)па́х,,без'л'іччерепах,
смакка́ви,сма̃к:а́ви,,смаккави,
бездже́му,бе(и)жд͡же̃́м°у̃,,бежjему,
зши́нкою,ш:и̃́нк°о·j°·у,,шшинкойу,
ґе́дзьживи́й,ґе́д͡жжи(е)ви́ĭ,,ґеz'живий,
пала́цчаклуна́,пала́ч:акл°у̃на̃́,,палацчаклуна,
зче́хом,шче́х°о̃м,,жчехом,
розжува́ти,р°ож°:ува́ти,,рожжувати,
зши́ти,ш:и́ти,,шшити,
ви́нісши,ви̃́н´і̃ш:и,,вин'ісши,
ви́візши,ви́в'іжши,,вив'іжши,
безшо́вний,бе(и)жш°о́ўни̃ĭ,,бежшовний,
ни́жчий,ни̃́жчиĭ,,нижчий,
незчу́тися,не̃(и)жч°у́ти(е)с´·а,,нежчутис'а,
зчи́стити,шчи́сти(е)ти,,жчистити,
ви́щий,ви́шчиĭ,,вишчий,
